,rendered_character,period,image_ID,dataset,SVG description length
10351,楚,Oracle,J14427,hzy,3844
10352,鄂,Bronze,B09850,hzy,3910
10353,瓜,Traditional,瓜,Hiragino Sans GB,2006
10354,妍,Simplified,11,casia,4001
10355,料,Traditional,19,traditional,4553
10356,底,Seal,S06747,hzy,2276
10357,氪,Traditional,氪,Hiragino Sans GB,2971
10358,辉,Simplified,辉,Hiragino Sans GB,2608
10359,播,Simplified,播,SimSun,3788
10360,角,Simplified,角,SimSun,2864
10361,桩,Simplified,桩,Hiragino Sans GB,2064
10362,氏,Simplified,5,casia,3697
10363,沦,Bronze,B15575,hzy,3300
10364,迷,Traditional,51,traditional,4580
10365,报,Simplified,101,casia,4768
10366,蛟,Simplified,蛟,SimSun,3485
10367,紀,Traditional,紀,SimSun,3402
10368,栎,Simplified,栎,SimSun,3183
10369,昌,Traditional,28,traditional,5787
10370,凹,Simplified,77,casia,4472
10371,贼,Simplified,63,casia,5277
10372,堇,Simplified,26,casia,3954
10373,奚,Simplified,58,casia,5907
10374,局,Simplified,85,casia,4109
10375,乡,Simplified,乡,Hiragino Sans GB,2581
10376,很,Traditional,很,Hiragino Sans GB,2581
10377,因,Oracle,J15435,hzy,2873
10378,裁,Simplified,98,casia,5407
10379,業,Traditional,業,SimSun,3152
10380,忌,Simplified,忌,Hiragino Sans GB,2103
10381,活,Simplified,活,Hiragino Sans GB,1745
10382,蕊,Simplified,蕊,SimSun,3603
10383,蛤,Simplified,蛤,SimSun,2952
10384,恶,Simplified,75,casia,4059
10385,鹅,Simplified,鹅,Hiragino Sans GB,3492
10386,迈,Bronze,B01998,hzy,3829
10387,栈,Simplified,栈,Hiragino Sans GB,3603
10388,卫,Seal,S01433,hzy,4875
10389,夭,Oracle,J23700,hzy,1734
10390,濺,Traditional,20,traditional,5799
10391,多,Traditional,45,traditional,3904
10392,龟,Seal,S10099,hzy,2750
10393,簾,Traditional,簾,SimSun,4712
10394,弋,Seal,S09379,hzy,1801
10395,呷,Simplified,呷,SimSun,1728
10396,系,Simplified,104,casia,3715
10397,尊,Traditional,7,traditional,4921
10398,蔥,Traditional,蔥,Hiragino Sans GB,2946
10399,珞,Simplified,56,casia,4499
10400,吧,Simplified,吧,Hiragino Sans GB,1637
10401,沏,Traditional,沏,Hiragino Sans GB,2462
10402,冯,Seal,S07029,hzy,3486
10403,狠,Simplified,47,casia,5404
10404,旁,Simplified,旁,Hiragino Sans GB,2467
10405,画,Bronze,B04398,hzy,3559
10406,萃,Simplified,萃,Hiragino Sans GB,2107
10407,疼,Simplified,疼,SimSun,3452
10408,揣,Simplified,揣,Hiragino Sans GB,2239
10409,屏,Traditional,27,traditional,4493
10410,敝,Seal,S05644,hzy,2958
10411,域,Simplified,域,SimSun,3398
10412,艾,Traditional,艾,SimSun,2032
10413,糖,Traditional,44,traditional,6322
10414,呱,Simplified,呱,SimSun,2940
10415,倏,Traditional,倏,SimSun,3439
10416,蔚,Seal,S00505,hzy,3292
10417,鳴,Traditional,鳴,Hiragino Sans GB,2197
10418,煸,Simplified,16,casia,5121
10419,蔥,Traditional,蔥,SimSun,3728
10420,液,Simplified,12,casia,3992
10421,屄,Traditional,屄,Hiragino Sans GB,2156
10422,韦,Simplified,131,casia,2581
10423,添,Traditional,添,Hiragino Sans GB,2939
10424,兵,Simplified,兵,Hiragino Sans GB,1802
10425,性,Bronze,B15335,hzy,1833
10426,朵,Seal,S04131,hzy,2707
10427,慌,Traditional,慌,SimSun,3009
10428,呆,Simplified,呆,Hiragino Sans GB,1917
10429,块,Simplified,块,Hiragino Sans GB,2227
10430,韵,Simplified,韵,SimSun,3493
10431,蘸,Traditional,蘸,SimSun,4974
10432,級,Traditional,47,traditional,6045
10433,告,Simplified,告,SimSun,1884
10434,掂,Simplified,掂,Hiragino Sans GB,1926
10435,迷,Simplified,93,casia,4124
10436,珠,Traditional,18,traditional,5939
10437,鄧,Traditional,57,traditional,5505
10438,照,Traditional,照,SimSun,3007
10439,噪,Traditional,噪,SimSun,2778
10440,主,Oracle,J12546,hzy,2036
10441,獄,Traditional,獄,SimSun,4238
10442,瓜,Seal,S05194,hzy,2355
10443,排,Simplified,50,casia,4100
10444,琪,Traditional,琪,Hiragino Sans GB,2108
10445,配,Bronze,B21352,hzy,3717
10446,糧,Traditional,18,traditional,7078
10447,蛙,Simplified,蛙,SimSun,3026
