character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
隙,xi4,Seal,pictosynthetic,359.6200660741904,hzy,S10885,隙 (xi4)
障,zhang4,Seal,pictophonetic,369.8920094015055,hzy,S10854,障 (zhang4)
隶,li4,Seal,other,439.77630031368483,hzy,S02226,隶 (li4)
隼,sun3,Seal,pictophonetic,275.3670611545152,hzy,S02716,隼 (sun3)
难,nan4,Bronze,pictophonetic,387.8544063449976,hzy,B05752,难 (nan4)
难,nan4,Seal,pictophonetic,415.9508803699886,hzy,S02743,难 (nan4)
雀,que4,Oracle,pictosynthetic,203.88743782301648,hzy,J08816,雀 (que4)
雀,que4,Seal,pictosynthetic,295.4070657797556,hzy,S02604,雀 (que4)
雁,yan4,Seal,pictophonetic,423.69610119799415,hzy,S02626,雁 (yan4)
雄,xiong2,Seal,pictophonetic,365.7679151308061,hzy,S02642,雄 (xiong2)
雅,ya3,Seal,pictophonetic,344.9931804841236,hzy,S02597,雅 (ya3)
集,ji2,Oracle,pictosynthetic,253.2446958492212,hzy,J09533,集 (ji2)
集,ji2,Seal,pictosynthetic,324.1991987573288,hzy,S02702,集 (ji2)
雇,gu4,Oracle,pictophonetic,209.92686028668192,hzy,J08873,雇 (gu4)
雇,gu4,Seal,pictophonetic,363.20440064546034,hzy,S02631,雇 (gu4)
雌,ci2,Seal,pictophonetic,416.15785519923145,hzy,S02643,雌 (ci2)
雍,yong1,Bronze,pictosynthetic,319.7579761360517,hzy,B05628,雍 (yong1)
雏,chu2,Oracle,pictophonetic,383.8012597199985,hzy,J08847,雏 (chu2)
雏,chu2,Seal,pictophonetic,406.3169158029479,hzy,S02612,雏 (chu2)
雕,diao1,Bronze,pictophonetic,300.8657618932532,hzy,B00562,雕 (diao1)
雕,diao1,Seal,pictophonetic,358.04111974692216,hzy,S00180,雕 (diao1)
雨,yu4,Bronze,pictographic,259.21509805411927,hzy,B15859,雨 (yu4)
雨,yu4,Oracle,pictographic,165.7468624431876,hzy,J24960,雨 (yu4)
雨,yu4,Seal,pictographic,280.1938134132504,hzy,S08466,雨 (yu4)
雪,xue3,Oracle,pictophonetic,227.8022203664755,hzy,J25073,雪 (xue3)
