,rendered_character,simplified_character,period,image_id,distinctiveness,nearest neighbours,perimetric_complexity,pixel_complexity
116,谏,谏,Bronze,B03038,116.36775757215683,"['造', '我', '铺', '识', '脐', '磷', '请', '武', '亲', '上']",46.45207144476619,16297.0
117,只,只,Bronze,B05594,114.3092453403066,"['象', '屈', '受', '侯', '伏', '应', '爰', '鸟', '玄', '羞']",28.728896399337646,10468.0
118,捷,捷,Bronze,B16528,130.37927161014494,"['节', '戏', '蔑', '贰', '车', '则', '敦', '解', '威', '厚']",33.571819504444825,11203.0
119,革,革,Bronze,B03517,113.9304895827002,"['亿', '勒', '对', '脐', '鸟', '妾', '是', '唯', '卓', '口']",34.14203714031107,12262.0
120,万,万,Bronze,B20093,123.9699570737436,"['解', '息', '鹿', '药', '为', '学', '继', '马', '毕', '迈']",33.11723052570626,11623.0
121,俗,俗,Bronze,B12356,112.50047682996498,"['便', '初', '裕', '六', '谷', '傅', '公', '休', '裘', '北']",31.33790106832262,9785.0
122,濒,濒,Bronze,B15652,132.79823250748186,"['顺', '漾', '海', '冲', '弃', '浮', '减', '庄', '贼', '逃']",44.482306320166145,15170.0
123,到,到,Bronze,B16138,116.91600268796716,"['爪', '至', '饕', '淑', '目', '备', '匀', '贝', '朔', '幻']",30.842270928760737,10836.0
124,始,始,Bronze,B17039,130.1945601924666,"['罚', '期', '嘉', '懈', '尽', '袭', '翟', '择', '羽', '继']",29.430186134040213,10733.0
125,昆,昆,Bronze,B09991,120.687569667778,"['曲', '良', '神', '玄', '足', '君', '臣', '贝', '邑', '囧']",30.704412641000637,10360.0
126,藏,藏,Bronze,B00828,128.13074055629633,"['寇', '硕', '宴', '宫', '赏', '寝', '偿', '祠', '肯', '实']",49.69359067203392,18129.0
127,口,口,Bronze,B01193,80.10312718125188,"['廿', '上', '纪', '厂', '日', '功', '壬', '尺', '工', '二']",28.04052034941733,10002.0
128,卖,卖,Bronze,B09661,119.2167623981044,"['赎', '责', '谋', '惠', '恵', '撸', '商', '彪', '画', '喜']",30.271756523650026,11919.0
129,字,字,Bronze,B20922,99.95050763324552,"['肯', '宋', '瓜', '宅', '冬', '雨', '纳', '反', '安', '向']",38.164495818108605,12550.0
130,下,下,Bronze,B00154,98.83450686989036,"['二', '上', '一', '三', '口', '厂', '氏', '午', '壬', '工']",15.358601371713869,4795.0
131,乌,乌,Bronze,B05780,136.77625855352755,"['焉', '牡', '兽', '勋', '顾', '彻', '败', '临', '蔑', '婴']",27.995640362539497,9848.0
132,羽,羽,Bronze,B05445,118.89909095724616,"['翟', '问', '虞', '受', '船', '获', '燮', '务', '期', '十']",17.018908309902436,6895.0
133,兴,兴,Bronze,B03489,126.23918829285302,"['若', '异', '品', '巩', '器', '讯', '边', '庄', '鄂', '姑']",31.48078113262192,11336.0
134,怀,怀,Bronze,B15388,108.76466444869406,"['宫', '素', '宣', '宜', '侧', '卫', '便', '廿', '边', '闻']",40.46513972738503,12621.0
135,长,长,Bronze,B14413,115.06448758149844,"['次', '尹', '丑', '刑', '于', '禹', '弗', '虎', '名', '牙']",27.299412994170947,9585.0
136,纯,纯,Bronze,B18216,132.73084205120546,"['拜', '妹', '松', '枚', '格', '野', '封', '邦', '栽', '和']",25.634861055532053,9634.0
137,曰,曰,Bronze,B06977,103.95978705874204,"['止', '卅', '廷', '山', '孟', '贝', '自', '少', '甚', '父']",29.53228688009415,10628.0
138,内,内,Bronze,B08100,100.3350210480296,"['芮', '纳', '丙', '宅', '宾', '衣', '宋', '白', '陶', '字']",30.614389828237886,10273.0
139,熬,熬,Bronze,B14856,140.24295583442387,"['务', '转', '敖', '慕', '虞', '辅', '童', '婚', '侵', '故']",38.31917567907431,12969.0
140,朱,朱,Bronze,B08640,88.96241108610747,"['木', '矢', '弋', '不', '干', '生', '士', '兄', '牙', '七']",20.430099476001683,7148.0
141,沈,沈,Bronze,B15600,116.27028913193544,"['黍', '冰', '汪', '林', '棘', '营', '湖', '和', '料', '蚊']",34.29175689754288,10717.0
142,盖,盖,Bronze,B00795,122.56432763329644,"['客', '忽', '哀', '马', '颜', '愈', '兑', '卫', '尝', '文']",44.50669046029812,15266.0
143,合,合,Bronze,B08003,97.53575601679536,"['伯', '白', '余', '回', '角', '舍', '衣', '旨', '吕', '忘']",22.362203613616796,7989.0
144,紫,紫,Bronze,B18255,120.29440480505072,"['利', '留', '爵', '备', '骆', '姜', '好', '至', '到', '畜']",31.80017875660796,11300.0
145,寓,寓,Bronze,B11730,109.5605815374229,"['宋', '宇', '宁', '安', '牢', '实', '字', '肯', '冬', '室']",37.811998359136304,14074.0
146,并,并,Bronze,B15312,128.1523603702098,"['兑', '平', '夜', '问', '它', '蚊', '攻', '工', '午', '饕']",36.44599143038618,12978.0
147,敛,敛,Bronze,B04629,139.61559581878626,"['识', '犹', '职', '膳', '欧', '织', '贰', '赢', '翼', '敦']",36.077595335918836,14705.0
148,谓,谓,Bronze,B02982,110.71992116085076,"['胃', '卑', '害', '割', '妻', '彼', '果', '密', '遗', '史']",28.27320872251974,9962.0
149,若,若,Bronze,B00797,122.91598863039414,"['营', '荣', '炎', '异', '兴', '和', '孟', '盟', '友', '出']",33.54075681396281,11131.0
150,真,真,Bronze,B12535,117.94084391443997,"['威', '彼', '受', '喜', '步', '贰', '环', '颐', '成', '为']",27.772188520371962,9246.0
151,枚,枚,Bronze,B08656,122.08641373691997,"['折', '相', '格', '柳', '加', '养', '松', '林', '邦', '备']",28.000475345227375,10084.0
152,脐,脐,Bronze,B06161,103.40630395046767,"['何', '各', '亿', '以', '录', '队', '淑', '廿', '番', '潘']",32.51561475249683,11670.0
153,井,井,Bronze,B07759,99.60817479716631,"['竹', '在', '丹', '且', '壮', '林', '凡', '禹', '弗', '前']",32.3900399966256,11491.0
154,旅,旅,Bronze,B10106,133.59354279983836,"['画', '龚', '辅', '雷', '筑', '彪', '弄', '难', '坡', '婚']",28.761815480618207,11951.0
155,升,升,Bronze,B19528,109.7795485407427,"['衣', '免', '禾', '文', '卓', '余', '反', '卒', '引', '裘']",25.131918887953336,8211.0
156,赢,赢,Bronze,B09558,142.4476347037661,"['聋', '旅', '龚', '蛮', '敛', '恕', '赎', '造', '忽', '织']",43.745688238539735,17011.0
157,枣,枣,Bronze,B10694,113.21606279878571,"['麦', '秉', '尔', '杀', '梅', '昼', '童', '盅', '黄', '熏']",26.988674172686892,9610.0
158,宅,宅,Bronze,B11229,98.53579934635805,"['耳', '甸', '田', '伯', '日', '字', '巫', '丙', '内', '向']",32.23534755170053,11116.0
159,酱,酱,Bronze,B21359,107.33454649633804,"['将', '上', '午', '口', '功', '以', '厂', '廿', '加', '录']",46.3479837789709,16760.0
160,鹿,鹿,Bronze,B14721,123.5884569460044,"['梁', '万', '变', '嘉', '慕', '解', '春', '彪', '祗', '礼']",27.15241170248683,10774.0
161,戏,戏,Bronze,B17483,118.93021748695756,"['蔑', '战', '配', '敖', '虞', '聋', '彪', '割', '献', '扑']",35.38440444425632,13298.0
162,沦,沦,Bronze,B15575,129.01662939977354,"['册', '黍', '洛', '兵', '沈', '祠', '上', '庄', '犬', '减']",38.491703368059284,13310.0
163,丧,丧,Bronze,B01723,136.41788951448717,"['追', '逸', '雷', '爽', '语', '姑', '申', '星', '乙', '留']",41.894198632616344,14807.0
164,铜,铜,Bronze,B19151,131.74416960218537,"['裕', '镐', '冒', '磷', '尝', '初', '卫', '缄', '忽', '秦']",50.70975883097028,18765.0
165,卯,卯,Bronze,B21103,113.97693630345672,"['易', '尹', '弗', '州', '葬', '禹', '九', '外', '非', '丑']",27.764417438143358,9616.0
166,之,之,Bronze,B09147,104.2720311162833,"['止', '性', '卅', '延', '山', '时', '舟', '生', '杜', '正']",28.586041970629456,9073.0
167,君,君,Bronze,B01255,104.12444093585418,"['吕', '句', '同', '玄', '邑', '旦', '贝', '得', '自', '子']",35.94744478914413,12993.0
168,敖,敖,Bronze,B05941,113.060278429149,"['栽', '务', '昼', '事', '吏', '童', '虞', '我', '戏', '责']",34.77572889765543,12512.0
169,奠,奠,Bronze,B06796,123.67310010826311,"['神', '配', '均', '卑', '谓', '奄', '翟', '羽', '媚', '胃']",31.450419779853007,11955.0
170,翼,翼,Bronze,B16025,132.91723958282358,"['婚', '荐', '冀', '膳', '慈', '然', '鹿', '忠', '参', '浅']",31.33839803986034,13359.0
171,返,返,Bronze,B02135,139.04193095229067,"['逸', '缶', '龟', '忠', '趣', '谏', '诃', '然', '聋', '怀']",43.30538047958616,14188.0
172,偿,偿,Bronze,B12334,111.76413852166088,"['赏', '尚', '常', '向', '寡', '句', '宫', '官', '尝', '宵']",37.06069472952592,12700.0
173,高,高,Bronze,B08266,113.80558084653909,"['仓', '宫', '郭', '官', '肯', '冬', '守', '枪', '得', '君']",34.78798350205452,13030.0
174,旬,旬,Bronze,B14185,109.80444874308952,"['匀', '以', '曾', '司', '邵', '丑', '纪', '月', '句', '右']",29.81173929010364,9943.0
175,沙,沙,Bronze,B15591,124.95750372353048,"['渴', '送', '衍', '裕', '冰', '没', '减', '堵', '流', '涉']",31.75271287375715,7397.0
176,匹,匹,Bronze,B17922,107.51416142579852,"['正', '牙', '巳', '丙', '舟', '月', '厂', '日', '巫', '夕']",29.558642949058882,10374.0
177,获,获,Bronze,B14757,121.22051476299362,"['受', '稣', '虔', '羽', '期', '季', '蔑', '队', '箭', '威']",42.37689018208983,14782.0
178,毁,毁,Bronze,B18735,128.93725220413086,"['蜀', '岩', '滕', '万', '辞', '为', '教', '整', '解', '药']",37.208449380472,13055.0
179,撸,撸,Bronze,B08712,127.61602761289473,"['卖', '赎', '鲜', '商', '责', '唐', '谏', '桐', '画', '脐']",36.3141603660764,13485.0
180,延,延,Bronze,B02545,105.1742923785682,"['诞', '之', '至', '水', '公', '正', '引', '出', '曰', '止']",26.58157477912549,8520.0
181,择,择,Bronze,B03349,131.97259466540436,"['忽', '婴', '婚', '变', '始', '蔑', '膳', '祖', '继', '黑']",29.896786477579198,11742.0
182,逐,逐,Bronze,B02243,117.58016771835273,"['龙', '帝', '磷', '忽', '客', '去', '虑', '鸟', '适', '吹']",32.191410931104244,10017.0
