,rendered_character,simplified_character,period,image_id,dataset,distinctiveness,nearest neighbours,period_stream
78,丝,丝,Bronze,B18511,hzy,108.22605433185194,"['兹', '幼', '至', '孙', '名', '糸', '丑', '利', '畜', '率']",Oracle
79,贞,贞,Bronze,B04793,hzy,143.4660334593057,"['侵', '父', '乘', '戚', '游', '喜', '承', '畜', '且', '般']",Oracle
80,足,足,Bronze,B02628,hzy,104.38249423681928,"['邑', '子', '巳', '旦', '旨', '帛', '不', '兄', '君', '得']",Oracle
81,星,星,Bronze,B10272,hzy,124.33034628103631,"['乐', '幽', '毕', '单', '男', '果', '唯', '孙', '蔑', '乙']",Oracle
82,外,外,Bronze,B10565,hzy,110.8141030239598,"['网', '夕', '北', '丘', '于', '丑', '屯', '衣', '它', '月']",Oracle
83,首,首,Bronze,B13738,hzy,117.42553650768792,"['自', '步', '克', '同', '小', '仓', '目', '增', '甫', '前']",Oracle
84,官,官,Bronze,B19668,hzy,109.577306119185,"['宣', '安', '向', '宾', '家', '裘', '午', '高', '冬', '厂']",Oracle
85,卿,卿,Bronze,B14121,hzy,119.01042052455178,"['兵', '牢', '黍', '蔑', '冬', '上', '飨', '廿', '视', '犬']",Oracle
86,甲,甲,Bronze,B20205,hzy,87.50898213640997,"['七', '才', '士', '人', '入', '巾', '矢', '上', '干', '于']",Oracle
87,矢,矢,Bronze,B08145,hzy,87.1191608185214,"['士', '位', '工', '大', '朱', '方', '入', '立', '午', '壬']",Oracle
88,般,般,Bronze,B13389,hzy,120.72626357124348,"['疾', '曾', '终', '人', '羞', '丑', '唯', '寝', '蔑', '廿']",Oracle
89,事,事,Bronze,B04281,hzy,121.50986870097924,"['史', '虞', '喜', '或', '先', '秉', '麦', '何', '季', '老']",Oracle
90,韦,韦,Bronze,B08513,hzy,115.47314684991,"['糸', '旨', '鸟', '季', '王', '何', '告', '多', '玉', '畜']",Oracle
91,初,初,Bronze,B06289,hzy,110.62104265409192,"['裘', '衣', '谷', '白', '征', '合', '依', '伯', '休', '利']",Oracle
92,犹,犹,Bronze,B14805,hzy,127.9274918385707,"['监', '秦', '队', '午', '豚', '献', '鬼', '文', '廿', '乙']",Oracle
93,昱,昱,Bronze,B09978,hzy,129.36194148150798,"['步', '毕', '监', '听', '光', '增', '单', '蔑', '鱼', '绝']",Oracle
94,宾,宾,Bronze,B09585,hzy,108.37790145347746,"['向', '安', '家', '官', '内', '宗', '宕', '宅', '队', '反']",Oracle
95,动,动,Bronze,B19049,hzy,145.13508724259,"['侄', '受', '尽', '鹿', '眉', '始', '旧', '礼', '昱', '疆']",Oracle
96,格,格,Bronze,B08672,hzy,117.65315005498957,"['邦', '林', '枚', '妹', '卜', '廿', '葬', '木', '相', '叔']",Oracle
97,井,井,Bronze,B07759,hzy,102.49458792797192,"['在', '丹', '且', '林', '弗', '前', '朱', '休', '奴', '甲']",Oracle
98,相,相,Bronze,B05032,hzy,120.2573690314811,"['旋', '叔', '枚', '吹', '省', '格', '柳', '大', '父', '卜']",Oracle
99,楚,楚,Bronze,B08953,hzy,125.50921812895442,"['散', '柳', '林', '黍', '上', '车', '妹', '壬', '工', '涉']",Oracle
100,六,六,Bronze,B19887,hzy,95.14281709267648,"['北', '衣', '终', '午', '文', '兮', '方', '天', '斤', '今']",Oracle
101,祈,祈,Bronze,B00324,hzy,149.36999215459798,"['镬', '页', '旗', '执', '鹿', '洛', '解', '祖', '登', '载']",Oracle
102,氏,氏,Bronze,B17244,hzy,92.38149020286968,"['午', '口', '上', '厂', '旦', '日', '于', '终', '正', '人']",Oracle
103,曾,曾,Bronze,B00960,hzy,116.24604392187923,"['增', '旬', '畜', '臣', '般', '小', '西', '州', '页', '季']",Oracle
104,诺,诺,Bronze,B02991,hzy,128.68722215707763,"['炎', '解', '步', '封', '齿', '首', '彭', '鹿', '涉', '敏']",Oracle
105,犀,犀,Bronze,B13203,hzy,115.6084085652962,"['象', '至', '上', '疆', '强', '壬', '王', '三', '龙', '曲']",Oracle
106,母,母,Bronze,B16928,hzy,114.50315951612752,"['每', '女', '仲', '射', '黄', '丑', '它', '宋', '夷', '西']",Oracle
107,鸟,鸟,Bronze,B05749,hzy,107.33258364671796,"['何', '妾', '旨', '王', '天', '畜', '爰', '吹', '名', '唯']",Oracle
108,北,北,Bronze,B12614,hzy,97.01164249205166,"['化', '六', '丘', '休', '于', '千', '才', '甲', '干', '七']",Oracle
109,盂,盂,Bronze,B07503,hzy,120.03794805726436,"['商', '鸟', '龙', '曲', '季', '麦', '逐', '唯', '缶', '承']",Oracle
110,牧,牧,Bronze,B04753,hzy,122.55730672550696,"['作', '敏', '齿', '冲', '父', '武', '利', '晨', '辟', '戚']",Oracle
111,邑,邑,Bronze,B09765,hzy,103.31081272433028,"['足', '子', '糸', '旦', '巳', '兄', '得', '君', '斗', '帛']",Oracle
112,宋,宋,Bronze,B11765,hzy,104.96445947912687,"['安', '向', '宅', '耳', '月', '内', '夕', '雨', '宁', '口']",Oracle
113,黍,黍,Bronze,B11168,hzy,115.83759856262829,"['沈', '休', '林', '兵', '卿', '上', '葬', '廿', '视', '午']",Oracle
114,侯,侯,Bronze,B08225,hzy,111.2322337664042,"['反', '丹', '厂', '卜', '后', '羞', '天', '队', '只', '如']",Oracle
115,品,品,Bronze,B02636,hzy,119.39344358149236,"['成', '区', '唯', '上', '氏', '射', '视', '兄', '口', '辟']",Oracle
116,戚,戚,Bronze,B17601,hzy,114.54283939441132,"['伐', '孙', '队', '成', '何', '敏', '虎', '鸟', '卜', '天']",Oracle
117,宝,宝,Bronze,B11450,hzy,139.5909440391745,"['寇', '宗', '家', '鱼', '傧', '宿', '寝', '宣', '犹', '口']",Oracle
118,伯,伯,Bronze,B12252,hzy,86.93698955211578,"['白', '合', '耳', '今', '亡', '角', '衣', '臣', '旦', '文']",Oracle
119,巾,巾,Bronze,B12004,hzy,99.78671492849784,"['甲', '七', '终', '仲', '人', '方', '矢', '六', '士', '氏']",Oracle
120,乍,乍,Bronze,B17717,hzy,117.04929653479516,"['止', '在', '曰', '山', '之', '父', '士', '丘', '出', '生']",Oracle
121,稻,稻,Bronze,B10997,hzy,140.64811604498485,"['上', '二', '洛', '衍', '壬', '黍', '三', '下', '齿', '涉']",Oracle
122,禾,禾,Bronze,B10967,hzy,104.07972279878932,"['吴', '夭', '羊', '木', '文', '朱', '不', '兄', '央', '生']",Oracle
123,角,角,Bronze,B06406,hzy,97.42480628665176,"['白', '伯', '尸', '父', '己', '合', '人', '司', '斗', '今']",Oracle
124,鱼,鱼,Bronze,B15960,hzy,134.56394709239788,"['宿', '寅', '昱', '傧', '高', '卫', '宝', '宁', '听', '廿']",Oracle
125,虞,虞,Bronze,B07380,hzy,118.55827277397898,"['史', '事', '蔑', '上', '羽', '廿', '尊', '我', '何', '口']",Oracle
126,洛,洛,Bronze,B15506,hzy,119.195068692932,"['人', '廿', '安', '尊', '祖', '口', '辟', '队', '终', '上']",Oracle
127,绝,绝,Bronze,B18223,hzy,140.91909757995225,"['酌', '昱', '闻', '土', '飨', '时', '廿', '羽', '礼', '队']",Oracle
128,名,名,Bronze,B01197,hzy,101.1122949598092,"['多', '斗', '巳', '司', '己', '又', '耳', '丑', '吉', '角']",Oracle
129,父,父,Bronze,B03850,hzy,99.93309236935656,"['士', '卜', '角', '廿', '伯', '至', '屯', '止', '舟', '白']",Oracle
130,彭,彭,Bronze,B07296,hzy,136.93609355604696,"['春', '步', '鹿', '诺', '丰', '礼', '惠', '育', '喜', '首']",Oracle
131,采,采,Bronze,B08735,hzy,110.07650319576528,"['不', '午', '厂', '斗', '壬', '五', '工', '羊', '央', '上']",Oracle
132,直,直,Bronze,B17679,hzy,118.23987828380577,"['伯', '臣', '西', '句', '白', '辰', '亡', '征', '裘', '州']",Oracle
133,十,十,Bronze,B02857,hzy,126.11321725460478,"['队', '羽', '象', '夕', '受', '马', '爰', '幼', '男', '何']",Oracle
134,疑,疑,Bronze,B21016,hzy,152.5552492781145,"['御', '楚', '陆', '我', '辟', '车', '上', '对', '队', '舞']",Oracle
