participantid,condition,trialnum,character,rating,flip,controlscore
49,hwtrad,50,面,4,flip,5
49,hwtrad,51,老,4,flip,5
49,hwtrad,52,control_匜_也,4,flip,5
49,hwtrad,53,control_卡_上,3,noflip,5
49,hwtrad,54,羊,2,flip,5
49,hwtrad,55,南,4,flip,5
50,hwtrad,1,于,4,flip,5
50,hwtrad,2,工,1,flip,5
50,hwtrad,3,面,0,noflip,5
50,hwtrad,4,门,4,flip,5
50,hwtrad,5,云,4,flip,5
50,hwtrad,6,侯,4,noflip,5
50,hwtrad,7,火,4,noflip,5
50,hwtrad,8,又,4,noflip,5
50,hwtrad,9,午,5,flip,5
50,hwtrad,10,control_刓_元,3,flip,5
50,hwtrad,11,单,5,noflip,5
50,hwtrad,12,丙,4,flip,5
50,hwtrad,13,未,4,flip,5
50,hwtrad,14,control_咫_只,4,noflip,5
50,hwtrad,15,且,5,noflip,5
50,hwtrad,16,壬,5,noflip,5
50,hwtrad,17,日,5,noflip,5
50,hwtrad,18,父,4,flip,5
50,hwtrad,19,齿,4,flip,5
50,hwtrad,20,戈,4,noflip,5
50,hwtrad,21,止,4,flip,5
50,hwtrad,22,老,4,noflip,5
50,hwtrad,23,龟,4,noflip,5
50,hwtrad,24,月,4,flip,5
50,hwtrad,25,田,4,noflip,5
50,hwtrad,26,蜀,3,flip,5
50,hwtrad,27,勿,3,flip,5
50,hwtrad,28,鸟,5,noflip,5
50,hwtrad,29,巳,3,noflip,5
50,hwtrad,30,九,4,noflip,5
50,hwtrad,31,control_匜_也,3,flip,5
50,hwtrad,32,口,4,noflip,5
50,hwtrad,33,氏,3,flip,5
50,hwtrad,34,矢,4,flip,5
50,hwtrad,35,母,4,flip,5
50,hwtrad,36,control_乇_七,4,noflip,5
50,hwtrad,37,秋,4,noflip,5
50,hwtrad,38,曲,4,flip,5
50,hwtrad,39,丹,5,noflip,5
50,hwtrad,40,石,5,noflip,5
50,hwtrad,41,仓,4,noflip,5
50,hwtrad,42,才,4,noflip,5
50,hwtrad,43,南,4,flip,5
50,hwtrad,44,帝,4,noflip,5
50,hwtrad,45,control_卡_上,4,flip,5
50,hwtrad,46,玉,5,noflip,5
50,hwtrad,47,永,4,flip,5
50,hwtrad,48,寅,3,flip,5
50,hwtrad,49,率,4,flip,5
50,hwtrad,50,册,4,flip,5
50,hwtrad,51,马,5,flip,5
